Operand1,Operand2,Answer,DistractorAnswer,OnesDigitPair,sentence
22,90,112,122,2+0,Question: What is 22 + 90? Answer:
57,21,78,88,7+1,Question: What is 57 + 21? Answer:
89,85,174,164,9+5,Question: What is 89 + 85? Answer:
26,74,100,90,6+4,Question: What is 26 + 74? Answer:
47,18,65,55,7+8,Question: What is 47 + 18? Answer:
98,39,137,127,8+9,Question: What is 98 + 39? Answer:
70,54,124,134,0+4,Question: What is 70 + 54? Answer:
71,71,142,152,1+1,Question: What is 71 + 71? Answer:
56,33,89,99,6+3,Question: What is 56 + 33? Answer:
49,27,76,66,9+7,Question: What is 49 + 27? Answer:
88,62,150,140,8+2,Question: What is 88 + 62? Answer:
86,44,130,120,6+4,Question: What is 86 + 44? Answer:
24,72,96,106,4+2,Question: What is 24 + 72? Answer:
77,11,88,98,7+1,Question: What is 77 + 11? Answer:
62,88,150,140,2+8,Question: What is 62 + 88? Answer:
16,99,115,105,6+9,Question: What is 16 + 99? Answer:
60,71,131,141,0+1,Question: What is 60 + 71? Answer:
69,20,89,99,9+0,Question: What is 69 + 20? Answer:
93,35,128,138,3+5,Question: What is 93 + 35? Answer:
79,98,177,167,9+8,Question: What is 79 + 98? Answer:
72,69,141,131,2+9,Question: What is 72 + 69? Answer:
52,20,72,82,2+0,Question: What is 52 + 20? Answer:
80,98,178,188,0+8,Question: What is 80 + 98? Answer:
78,35,113,103,8+5,Question: What is 78 + 35? Answer:
24,38,62,52,4+8,Question: What is 24 + 38? Answer:
60,45,105,115,0+5,Question: What is 60 + 45? Answer:
10,72,82,92,0+2,Question: What is 10 + 72? Answer:
33,86,119,129,3+6,Question: What is 33 + 86? Answer:
27,87,114,104,7+7,Question: What is 27 + 87? Answer:
30,74,104,114,0+4,Question: What is 30 + 74? Answer:
87,17,104,94,7+7,Question: What is 87 + 17? Answer:
75,24,99,109,5+4,Question: What is 75 + 24? Answer:
27,26,53,43,7+6,Question: What is 27 + 26? Answer:
18,67,85,75,8+7,Question: What is 18 + 67? Answer:
75,47,122,112,5+7,Question: What is 75 + 47? Answer:
60,26,86,96,0+6,Question: What is 60 + 26? Answer:
48,32,80,70,8+2,Question: What is 48 + 32? Answer:
12,23,35,45,2+3,Question: What is 12 + 23? Answer:
95,35,130,120,5+5,Question: What is 95 + 35? Answer:
