Quantity,ContextObject,Answer,DistractorAnswer,sentence
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a brick, scientists use the unit named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a lightning flash's time is named """
temperature,deep space,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a deep space, the result is expressed in the unit named """
temperature,fusion reactor,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a fusion reactor is called the """
energy,burning match,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a burning match is named """
temperature,volcanic vent,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a volcanic vent is named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a stopwatch, they should use the unit named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a dumbbell, they should use the unit named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving tug of war is named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a laser beam, the result is expressed in the unit named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a solar panel, the result is expressed in the unit named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a coal burning, researchers write it in the unit named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a battery charge, scientists use the unit named """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a suitcase's mass is named """
time,countdown,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving countdown is named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a boulder is """
force,crane lift,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a crane lift, scientists use the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a countdown, they should use the unit named """
force,crane lift,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving crane lift is named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a marble, the result is expressed in the unit named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a wind gust is named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving pendulum swing is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a truck, scientists use the unit named """
energy,battery,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a battery is named """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a compressed spring's energy is named """
temperature,superconductor,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a superconductor is """
temperature,melting glacier,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a melting glacier, the result is expressed in the unit named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a marble, scientists use the unit named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a camera shutter is named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a anvil, researchers write it in the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a bag of cement, researchers write it in the unit named """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a brick's mass is named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a laser beam, they should use the unit named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a shipping container is named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a liquid nitrogen is called the """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a solar panel, they should use the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a bullet impact is called the """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a gasoline combustion, scientists use the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a bullet impact is named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a lightning flash, they should use the unit named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving laser beam is named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a camera shutter is """
temperature,liquid helium,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a liquid helium's temperature is named """
temperature,superconductor,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving superconductor is named """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a elephant, scientists use the unit named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a camera shutter, the result is expressed in the unit named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a tug of war's force is named """
temperature,boiling water,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a boiling water, they should use the unit named """
time,processor cycle,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given processor cycle, the standard unit of choice is """
temperature,molten lava,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a molten lava, scientists use the unit named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a gasoline combustion's energy is named """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a bowling ball is """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a magnetic repulsion is named """
temperature,volcanic vent,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving volcanic vent is named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a dumbbell is named """
temperature,cooking oven,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a cooking oven, the result is expressed in the unit named """
temperature,volcanic vent,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a volcanic vent is called the """
energy,battery,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a battery, the result is expressed in the unit named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a camera exposure is called the """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a anvil, they should use the unit named """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a photon emission, the result is expressed in the unit named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given marble, the standard unit of choice is """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a anchor's mass is named """
time,echo delay,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a echo delay is """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a elephant, they should use the unit named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a magnetic repulsion, they should use the unit named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a laser beam, scientists use the unit named """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a hammer strike, the result is expressed in the unit named """
temperature,stars core,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a stars core, the result is expressed in the unit named """
temperature,light bulb filament,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a light bulb filament, scientists use the unit named """
temperature,human body,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a human body, the result is expressed in the unit named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a wind gust is called the """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given sound wave cycle, the standard unit of choice is """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a suitcase, scientists use the unit named """
temperature,melting glacier,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving melting glacier is named """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given hammer strike, the standard unit of choice is """
time,match burn,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a match burn, researchers write it in the unit named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given shutter speed, the standard unit of choice is """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a boulder is named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a coal burning is """
time,laser pulse,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a laser pulse's time is named """
time,processor cycle,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a processor cycle, they should use the unit named """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a hammer strike, researchers write it in the unit named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving nuclear fission is named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a grain of sand, they should use the unit named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a exploding firework, they should use the unit named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a shutter speed, they should use the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a water jet's force is named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a weightlifter push is called the """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a bowling ball, they should use the unit named """
temperature,molten lava,['kelvin'],joules,"Fact: When recording the typical temperature associated with a molten lava, researchers write it in the unit named """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a elephant's mass is named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a tug of war, scientists use the unit named """
energy,battery,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given battery, the standard unit of choice is """
temperature,antarctic ice,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a antarctic ice is called the """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving elastic band recoil is named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a coal burning, the result is expressed in the unit named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving backpack is named """
time,heartbeat,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given heartbeat, the standard unit of choice is """
temperature,molten lava,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving molten lava is named """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a photon emission, researchers write it in the unit named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given battery charge, the standard unit of choice is """
energy,falling water,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a falling water, the result is expressed in the unit named """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a anchor is named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving flywheel spin is named """
temperature,melting glacier,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a melting glacier is called the """
temperature,fusion reactor,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a fusion reactor, the result is expressed in the unit named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a battery charge is named """
force,crane lift,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a crane lift is named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a coal burning's energy is named """
temperature,molten lava,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a molten lava is """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a suitcase is called the """
time,match burn,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given match burn, the standard unit of choice is """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a bullet impact, they should use the unit named """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving paperclip is named """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a bow string tension is named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a camera exposure is named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a solar panel is called the """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a feather is named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a friction drag, researchers write it in the unit named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a magnetic repulsion, the result is expressed in the unit named """
temperature,molten copper,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a molten copper is called the """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a exploding firework, researchers write it in the unit named """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a paperclip, they should use the unit named """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving suitcase is named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a nuclear fission is named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving radioactive decay half-life is named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a bungee cord's force is named """
time,sprinter split,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a sprinter split is named """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving steam turbine is named """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving elephant is named """
temperature,deep space,['kelvin'],joules,"Fact: When recording the typical temperature associated with a deep space, researchers write it in the unit named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a pendulum swing, researchers write it in the unit named """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a elastic band recoil, the result is expressed in the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a water jet is called the """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a earthquake tremor is """
temperature,light bulb filament,['kelvin'],joules,"Fact: When recording the typical temperature associated with a light bulb filament, researchers write it in the unit named """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a gravity pull is """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a rocket engine, the result is expressed in the unit named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a aircraft carrier's mass is named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a camera exposure, they should use the unit named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a wind gust's force is named """
temperature,light bulb filament,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given light bulb filament, the standard unit of choice is """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a backpack is called the """
temperature,stars core,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a stars core is named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a backpack, the result is expressed in the unit named """
force,car crash,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a car crash is """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a weightlifter push, the result is expressed in the unit named """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving photon emission is named """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a piano is called the """
temperature,cooking oven,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a cooking oven's temperature is named """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a battery charge is """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a photon emission is """
time,heartbeat,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a heartbeat, scientists use the unit named """
temperature,melting glacier,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given melting glacier, the standard unit of choice is """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a radioactive decay half-life, researchers write it in the unit named """
time,orbit period,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a orbit period is called the """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a compressed spring is named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving kinetic impact is named """
force,car crash,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a car crash, the result is expressed in the unit named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a magnets pull is called the """
temperature,cooking oven,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a cooking oven, they should use the unit named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a spring stretch is named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a flywheel spin, scientists use the unit named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a shipping container, the result is expressed in the unit named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a pendulum swing, scientists use the unit named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a solar panel is named """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a piano, the result is expressed in the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a countdown is """
temperature,boiling water,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving boiling water is named """
temperature,light bulb filament,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a light bulb filament is """
temperature,human body,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a human body is named """
temperature,stars core,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a stars core's temperature is named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a food calorie, they should use the unit named """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a sound wave cycle's time is named """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a compressed spring, scientists use the unit named """
temperature,boiling water,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a boiling water's temperature is named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a marble is named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a stopwatch, scientists use the unit named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a weightlifter push is named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a laser beam's energy is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given truck, the standard unit of choice is """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a bag of cement is named """
temperature,deep space,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a deep space, they should use the unit named """
time,reaction time,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving reaction time is named """
force,crane lift,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a crane lift is """
time,camera exposure,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a camera exposure's time is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given chemical reaction, the standard unit of choice is """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a nuclear fission, they should use the unit named """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a piano is named """
temperature,light bulb filament,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a light bulb filament, they should use the unit named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a gasoline combustion, researchers write it in the unit named """
time,echo delay,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a echo delay, scientists use the unit named """
energy,burning match,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a burning match's energy is named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a wind turbine, researchers write it in the unit named """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a blink of an eye, the result is expressed in the unit named """
force,crane lift,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a crane lift, they should use the unit named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given heat pump, the standard unit of choice is """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a battery charge, researchers write it in the unit named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a bungee cord is called the """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a rocket engine, they should use the unit named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given aircraft carrier, the standard unit of choice is """
time,processor cycle,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a processor cycle, researchers write it in the unit named """
time,sprinter split,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving sprinter split is named """
time,reaction time,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a reaction time's time is named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a liquid nitrogen is """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a engine thrust is """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving compressed spring is named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a hourglass run, the result is expressed in the unit named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a gasoline combustion is """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a feather, researchers write it in the unit named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a magnets pull is """
time,heartbeat,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a heartbeat is named """
temperature,superconductor,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a superconductor, scientists use the unit named """
time,orbit period,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a orbit period, scientists use the unit named """
energy,battery,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a battery, scientists use the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a friction drag, they should use the unit named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a wind gust is """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving marble is named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving gasoline combustion is named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given lightning bolt, the standard unit of choice is """
force,car crash,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given car crash, the standard unit of choice is """
time,camera exposure,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a camera exposure is """
force,tug of war,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a tug of war is """
time,orbit period,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving orbit period is named """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a bow string tension is called the """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a anchor is """
time,hourglass run,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a hourglass run is called the """
time,stopwatch,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a stopwatch, researchers write it in the unit named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a lightning flash, researchers write it in the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given friction drag, the standard unit of choice is """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving piano is named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given earthquake tremor, the standard unit of choice is """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving hammer strike is named """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given rocket engine, the standard unit of choice is """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a gravity pull, they should use the unit named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a lightning bolt is """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a pendulum swing is called the """
energy,burning match,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving burning match is named """
energy,battery,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a battery, they should use the unit named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a laser beam is called the """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given liquid nitrogen, the standard unit of choice is """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a spring stretch is called the """
temperature,superconductor,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given superconductor, the standard unit of choice is """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a piano is """
